Local time in Nairobi / Wilson (airport),T,P0,P,U,DD,Ff,ff10,WW,W'W',c,VV,Td
10.05.2018 07:00,16,627.7,765.8,100,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 540 m",10.0 and more,16
10.05.2018 06:00,16,627.7,765.8,94,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 540 m, overcast (100%) 2400 m",10.0 and more,15
10.05.2018 05:00,16,627.1,765,100,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 540 m, overcast (100%) 2400 m",10.0 and more,16
10.05.2018 04:00,17,627.5,765,94,"Calm, no wind",0,,Light drizzle,,"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 570 m",10.0 and more,16
10.05.2018 03:00,17,627.5,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
09.05.2018 20:00,19,628.3,765,88,Wind blowing from the east-southeast,8,,,,Broken clouds (60-90%) 630 m,10.0 and more,17
09.05.2018 19:00,20,628.2,764.3,83,Wind blowing from the east,3,,,,Broken clouds (60-90%) 660 m,10.0 and more,17
09.05.2018 18:00,20,628.2,764.3,78,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 630 m, cumulonimbus clouds , broken clouds (60-90%) 660 m",10.0 and more,16
09.05.2018 17:00,22,628.4,763.5,69,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 720 m,10.0 and more,16
09.05.2018 16:00,22,628.4,763.5,65,Wind blowing from the east-southeast,5,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
09.05.2018 15:00,23,629.4,764.3,65,Wind blowing from the south-east,3,,,,Broken clouds (60-90%) 750 m,10.0 and more,16
09.05.2018 14:00,22,629,764.3,65,"Calm, no wind",0,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
09.05.2018 13:00,22,629.6,765,65,"Calm, no wind",0,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
09.05.2018 12:00,19,629,765.8,83,"Calm, no wind",0,,,,"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 630 m",10.0 and more,16
09.05.2018 11:00,18,629.2,766.6,88,"Calm, no wind",0,,,,"Broken clouds (60-90%) 570 m, overcast (100%) 600 m",10.0 and more,16
09.05.2018 10:00,17,628.8,766.6,94,"Calm, no wind",0,,,,Overcast (100%) 540 m,10.0 and more,16
09.05.2018 09:00,17,628.1,765.8,94,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 240 m, overcast (100%) 540 m",10.0 and more,16
09.05.2018 07:00,16,627.7,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
09.05.2018 06:00,16,627.1,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
09.05.2018 05:00,16,627.1,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
09.05.2018 04:00,16,627.1,765,100,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
09.05.2018 03:00,16,627.7,765.8,100,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
08.05.2018 20:00,18,627.3,764.3,94,Wind blowing from the south-southeast,5,,,,Broken clouds (60-90%) 600 m,10.0 and more,17
08.05.2018 19:00,19,627.8,764.3,88,Wind blowing from the south-east,8,,,,Broken clouds (60-90%) 630 m,10.0 and more,17
08.05.2018 18:00,20,628.2,764.3,78,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 660 m, cumulonimbus clouds , broken clouds (60-90%) 690 m",10.0 and more,16
08.05.2018 17:00,21,628,763.5,73,Wind blowing from the east,4,,In the vicinity shower(s),,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
08.05.2018 16:00,22,628.4,763.5,69,Wind blowing from the east-southeast,3,,,,"Few clouds (10-30%) 720 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
08.05.2018 15:00,22,629,764.3,69,Wind blowing from the south-southeast,3,,,,"Few clouds (10-30%) 720 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
08.05.2018 14:00,22,629.6,765,69,Wind blowing from the east-southeast,4,,,,"Few clouds (10-30%) 720 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
08.05.2018 13:00,21,629.8,765.8,73,Wind blowing from the east-southeast,4,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,16
08.05.2018 12:00,20,630.1,766.6,78,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 690 m,10.0 and more,16
08.05.2018 11:00,20,630.7,767.3,78,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
08.05.2018 10:00,18,629.8,767.3,88,Wind blowing from the south,3,,,,"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 09:00,17,629.4,767.3,94,Wind blowing from the south,3,,,,"Broken clouds (60-90%) 540 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 08:00,17,628.8,766.6,94,"Calm, no wind",0,,,,"Broken clouds (60-90%) 480 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 07:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Broken clouds (60-90%) 300 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 06:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
08.05.2018 05:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
08.05.2018 04:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
08.05.2018 03:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
08.05.2018 02:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 01:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
08.05.2018 00:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
07.05.2018 23:00,17,628.8,766.6,100,"Calm, no wind",0,,,Rain,"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,17
07.05.2018 22:00,17,628.8,766.6,100,"Calm, no wind",0,,Light rain,,"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,17
07.05.2018 21:00,17,628.8,766.6,100,"Calm, no wind",0,,Light rain,,"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,17
07.05.2018 20:00,18,628.6,765.8,94,"Calm, no wind",0,,Light rain,,"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 2100 m",10.0 and more,17
07.05.2018 19:00,18,628.6,765.8,94,"Calm, no wind",0,,,,"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 2100 m",10.0 and more,17
07.05.2018 18:00,20,628.8,765,83,Wind blowing from the east-northeast,7,,Rain,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 660 m, broken clouds (60-90%) 2100 m",0.8,17
07.05.2018 17:00,20,628.8,765,83,"Calm, no wind",0,,,,Broken clouds (60-90%) 660 m,10.0 and more,17
07.05.2018 16:00,20,628.8,765,83,"Calm, no wind",0,,,Rain,Broken clouds (60-90%) 660 m,10.0 and more,17
07.05.2018 15:00,20,628.8,765,78,"Calm, no wind",0,,,Rain,Broken clouds (60-90%) 660 m,10.0 and more,16
07.05.2018 14:00,21,629.8,765.8,73,Wind blowing from the south,3,,,Rain,Broken clouds (60-90%) 690 m,10.0 and more,16
07.05.2018 13:00,21,630.5,766.6,73,"Calm, no wind",0,,Light rain,,"Broken clouds (60-90%) 690 m, broken clouds (60-90%) 2400 m",10.0 and more,16
07.05.2018 12:00,20,630.7,767.3,78,Wind blowing from the east,3,,,Rain,"Broken clouds (60-90%) 630 m, broken clouds (60-90%) 2400 m",10.0 and more,16
07.05.2018 11:00,19,630.9,768.1,83,Wind blowing from the south-east,5,,Light rain,,"Scattered clouds (40-50%) 300 m, broken clouds (60-90%) 540 m, broken clouds (60-90%) 2400 m",10.0 and more,16
07.05.2018 10:00,19,630.9,768.1,83,Wind blowing from the south-southeast,3,,,,"Scattered clouds (40-50%) 270 m, broken clouds (60-90%) 540 m, broken clouds (60-90%) 2400 m",10.0 and more,16
07.05.2018 09:00,17,629.4,767.3,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 270 m, broken clouds (60-90%) 540 m",10.0 and more,16
07.05.2018 08:00,17,629.4,767.3,94,Wind blowing from the south-east,3,,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 540 m",10.0 and more,16
07.05.2018 07:00,16,628.9,767.3,100,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 240 m, broken clouds (60-90%) 540 m",10.0 and more,16
07.05.2018 06:00,16,628.4,766.6,100,"Calm, no wind",0,,Light rain,,Broken clouds (60-90%) 540 m,10.0 and more,16
07.05.2018 05:00,16,628.4,766.6,100,"Calm, no wind",0,,Light rain,,Broken clouds (60-90%) 540 m,10.0 and more,16
07.05.2018 04:00,16,628.4,766.6,100,Wind blowing from the south,3,,Light rain,,Broken clouds (60-90%) 540 m,10.0 and more,16
07.05.2018 03:00,16,628.4,766.6,100,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
06.05.2018 20:00,20,629.4,765.8,73,Wind blowing from the east-southeast,4,,,,Broken clouds (60-90%) 660 m,10.0 and more,15
06.05.2018 19:00,20,629.4,765.8,73,Wind blowing from the east-southeast,4,,,,Broken clouds (60-90%) 660 m,10.0 and more,15
06.05.2018 18:00,22,629.6,765,65,Wind blowing from the east-southeast,5,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
06.05.2018 17:00,23,629.4,764.3,57,Wind blowing from the south-southeast,5,,,,"Few clouds (10-30%) 750 m, cumulonimbus clouds , broken clouds (60-90%) 780 m",10.0 and more,14
06.05.2018 16:00,24,629.9,764.3,57,Wind blowing from the east-southeast,8,,,,"Few clouds (10-30%) 780 m, cumulonimbus clouds , broken clouds (60-90%) 810 m",10.0 and more,15
06.05.2018 15:00,24,630.4,765,57,Wind blowing from the east-southeast,5,,,,"Few clouds (10-30%) 780 m, cumulonimbus clouds , broken clouds (60-90%) 810 m",10.0 and more,15
06.05.2018 14:00,22,630.3,765.8,65,Wind blowing from the south,4,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
06.05.2018 13:00,22,630.3,765.8,65,"Calm, no wind",0,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
06.05.2018 12:00,21,631.1,767.3,69,"Calm, no wind",0,,,,Broken clouds (60-90%) 690 m,10.0 and more,15
06.05.2018 11:00,20,630.7,767.3,73,"Calm, no wind",0,,,,Broken clouds (60-90%) 660 m,10.0 and more,15
06.05.2018 10:00,19,630.2,767.3,83,"Calm, no wind",0,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
06.05.2018 09:00,18,629.8,767.3,83,"Calm, no wind",0,,,,Broken clouds (60-90%) 600 m,10.0 and more,15
06.05.2018 08:00,18,629.8,767.3,83,"Calm, no wind",0,,,,Broken clouds (60-90%) 600 m,10.0 and more,15
06.05.2018 07:00,16,627.7,765.8,100,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 210 m, broken clouds (60-90%) 540 m",10.0 and more,16
06.05.2018 06:00,16,627.7,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
06.05.2018 05:00,17,628.1,765.8,94,Wind blowing from the south,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
06.05.2018 04:00,17,628.1,765.8,94,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
06.05.2018 03:00,17,627.5,765,94,Wind blowing from the south-southeast,2,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
05.05.2018 23:00,18,628.6,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 600 m,10.0 and more,17
05.05.2018 20:00,19,628.3,765,88,Wind blowing from the south-southeast,5,,,,Broken clouds (60-90%) 630 m,10.0 and more,17
05.05.2018 19:00,20,628.2,764.3,78,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
05.05.2018 18:00,22,629,764.3,69,Wind blowing from the south-east,3,,,,Broken clouds (60-90%) 720 m,10.0 and more,16
05.05.2018 17:00,23,628.8,763.5,61,Wind blowing from the south-east,5,,,,Broken clouds (60-90%) 750 m,10.0 and more,15
05.05.2018 16:00,24,629.2,763.5,57,Wind blowing from the south-east,6,,,,Broken clouds (60-90%) 780 m,10.0 and more,15
05.05.2018 15:00,23,629.4,764.3,61,Wind blowing from the east,3,,,,"Broken clouds (60-90%) 750 m, scattered clouds (40-50%) 2400 m",10.0 and more,15
05.05.2018 14:00,23,630,765,61,Wind blowing from the east-southeast,5,,,,Broken clouds (60-90%) 750 m,10.0 and more,15
05.05.2018 13:00,22,630.3,765.8,61,Wind blowing from the east-southeast,5,,,,Broken clouds (60-90%) 720 m,10.0 and more,14
05.05.2018 12:00,22,630.9,766.6,69,Wind blowing from the south-southeast,5,,,,Broken clouds (60-90%) 720 m,10.0 and more,16
05.05.2018 11:00,20,630.1,766.6,78,Wind blowing from the south,4,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
05.05.2018 10:00,19,629.7,766.6,83,Wind blowing from the south-east,3,,,,Broken clouds (60-90%) 630 m,10.0 and more,16
05.05.2018 09:00,18,629.2,766.6,88,Wind blowing from the south,4,,,,Scattered clouds (40-50%) 600 m,10.0 and more,16
05.05.2018 07:00,16,627.7,765.8,94,Wind blowing from the south-southeast,3,,,,"Broken clouds (60-90%) 540 m, broken clouds (60-90%) 2400 m",10.0 and more,15
05.05.2018 06:00,16,627.1,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
05.05.2018 05:00,16,627.1,765,94,"Calm, no wind",0,,Rain,,Broken clouds (60-90%) 540 m,10.0 and more,15
05.05.2018 04:00,17,627.5,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
05.05.2018 03:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
05.05.2018 01:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
04.05.2018 21:00,18,627.9,765,94,Wind blowing from the south,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,17
04.05.2018 18:00,23,628.8,763.5,65,Wind blowing from the east-northeast,4,,,,Scattered clouds (40-50%) 750 m,10.0 and more,16
04.05.2018 17:00,24,629.2,763.5,61,Wind blowing from the east-northeast,5,,,,Scattered clouds (40-50%) 780 m,10.0 and more,16
04.05.2018 16:00,24,629.2,763.5,61,Wind blowing from the east,5,,,,Scattered clouds (40-50%) 780 m,10.0 and more,16
04.05.2018 15:00,25,630.3,764.3,54,Wind blowing from the east,3,,,,Scattered clouds (40-50%) 810 m,10.0 and more,15
04.05.2018 14:00,24,630.4,765,61,Wind blowing from the south-east,5,,,,Scattered clouds (40-50%) 780 m,10.0 and more,16
04.05.2018 13:00,23,630.7,765.8,65,Wind blowing from the south-southeast,3,,,,Scattered clouds (40-50%) 750 m,10.0 and more,16
04.05.2018 12:00,22,630.3,765.8,69,Wind blowing from the east-southeast,3,,,,Scattered clouds (40-50%) 720 m,10.0 and more,16
04.05.2018 10:00,19,629.7,766.6,83,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 630 m,10.0 and more,16
04.05.2018 09:00,18,629.2,766.6,88,Wind blowing from the south,3,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
04.05.2018 08:00,17,628.1,765.8,94,Wind blowing from the south-southwest,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,16
04.05.2018 07:00,17,628.1,765.8,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
04.05.2018 06:00,17,627.5,765,94,Wind blowing from the south,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
04.05.2018 05:00,17,627.5,765,94,Wind blowing from the south,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
04.05.2018 04:00,17,627.5,765,94,Wind blowing from the south,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
04.05.2018 03:00,17,627.5,765,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
03.05.2018 23:00,17,628.1,765.8,94,Wind blowing from the south-southwest,4,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
03.05.2018 22:00,17,628.1,765.8,94,Wind blowing from the south-southwest,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
03.05.2018 20:00,17,627.5,765,94,Wind blowing from the west,3,,Rain,,Broken clouds (60-90%) 570 m,10.0 and more,16
03.05.2018 19:00,18,627.3,764.3,88,Wind blowing from the east-northeast,3,,Light rain,,Broken clouds (60-90%) 600 m,10.0 and more,16
03.05.2018 18:00,19,627.8,764.3,88,Wind blowing from the north-northeast,6,,"Light shower(s), rain",,"Few clouds (10-30%) 630 m, cumulonimbus clouds , broken clouds (60-90%) 660 m",10.0 and more,17
03.05.2018 17:00,21,628,763.5,78,Wind blowing from the south-southeast,6,,In the vicinity rain,,"Few clouds (10-30%) 660 m, cumulonimbus clouds , broken clouds (60-90%) 690 m",10.0 and more,17
03.05.2018 16:00,24,629.2,763.5,61,Wind blowing from the south,4,,In the vicinity rain,,"Few clouds (10-30%) 750 m, cumulonimbus clouds , broken clouds (60-90%) 780 m",10.0 and more,16
03.05.2018 15:00,24,629.2,763.5,57,Wind blowing from the south,5,,,,"Few clouds (10-30%) 750 m, cumulonimbus clouds , scattered clouds (40-50%) 780 m",10.0 and more,15
03.05.2018 14:00,24,630.4,765,57,Wind blowing from the south,5,,,,Broken clouds (60-90%) 780 m,10.0 and more,15
03.05.2018 13:00,23,630,765,69,Wind blowing from the south-southeast,5,,,,Broken clouds (60-90%) 750 m,10.0 and more,17
03.05.2018 12:00,22,630.3,765.8,73,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 720 m,10.0 and more,17
03.05.2018 11:00,20,629.4,765.8,83,"Calm, no wind",0,,,,"Broken clouds (60-90%) 660 m, broken clouds (60-90%) 2400 m",10.0 and more,17
03.05.2018 10:00,19,629.7,766.6,88,"Calm, no wind",0,,,,"Broken clouds (60-90%) 630 m, broken clouds (60-90%) 2100 m",10.0 and more,17
03.05.2018 09:00,18,629.2,766.6,88,"Calm, no wind",0,,,,"Broken clouds (60-90%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 08:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 07:00,15,626.6,765,100,"Calm, no wind",0,,,,"Few clouds (10-30%) 510 m, broken clouds (60-90%) 2100 m",10.0 and more,15
03.05.2018 06:00,15,626.6,765,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 510 m, broken clouds (60-90%) 2100 m",10.0 and more,14
03.05.2018 05:00,17,626.9,764.3,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, scattered clouds (40-50%) 2100 m",10.0 and more,16
03.05.2018 04:00,17,627.5,765,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 03:00,17,627.5,765,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 02:00,17,628.1,765.8,94,Wind blowing from the west-southwest,3,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 01:00,17,628.1,765.8,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
03.05.2018 00:00,17,629.4,767.3,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
02.05.2018 23:00,17,629.4,767.3,94,"Calm, no wind",0,,,,"Few clouds (10-30%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
02.05.2018 22:00,17,629.4,767.3,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2100 m",10.0 and more,16
02.05.2018 21:00,17,628.8,766.6,94,"Calm, no wind",0,,,,"Scattered clouds (40-50%) 570 m, broken clouds (60-90%) 2400 m",10.0 and more,16
02.05.2018 20:00,17,628.1,765.8,94,Wind blowing from the south,3,,,Rain,Broken clouds (60-90%) 570 m,10.0 and more,16
02.05.2018 19:00,18,628.6,765.8,94,"Calm, no wind",0,,"Light shower(s), rain",,"Few clouds (10-30%) 570 m, cumulonimbus clouds , broken clouds (60-90%) 600 m",10.0 and more,17
02.05.2018 18:00,19,628.3,765,83,Wind blowing from the south-southwest,3,,In the vicinity rain,,"Few clouds (10-30%) 630 m, cumulonimbus clouds , broken clouds (60-90%) 660 m",10.0 and more,16
02.05.2018 17:00,20,628.2,764.3,83,Wind blowing from the south,5,,,,"Few clouds (10-30%) 690 m, cumulonimbus clouds , broken clouds (60-90%) 720 m",10.0 and more,17
02.05.2018 16:00,22,629,764.3,69,Wind blowing from the south-west,7,,,,"Few clouds (10-30%) 720 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
02.05.2018 15:00,23,630,765,65,Wind blowing from the south-southeast,4,,,,"Few clouds (10-30%) 720 m, cumulonimbus clouds , broken clouds (60-90%) 750 m",10.0 and more,16
02.05.2018 14:00,23,630.7,765.8,61,Wind blowing from the south,4,,,,Broken clouds (60-90%) 750 m,10.0 and more,15
02.05.2018 13:00,22,630.9,766.6,65,Wind blowing from the south,3,,,,"Broken clouds (60-90%) 720 m, broken clouds (60-90%) 2400 m",10.0 and more,15
02.05.2018 12:00,21,631.1,767.3,73,Wind blowing from the south,3,,,,"Broken clouds (60-90%) 690 m, broken clouds (60-90%) 2400 m",10.0 and more,16
02.05.2018 11:00,20,631.3,768.1,78,"Calm, no wind",0,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
02.05.2018 10:00,18,630.5,768.1,83,"Calm, no wind",0,,,,Broken clouds (60-90%) 600 m,10.0 and more,15
02.05.2018 09:00,17,630,768.1,94,Wind blowing from the south-east,3,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
02.05.2018 08:00,16,628.9,767.3,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
02.05.2018 07:00,16,628.4,766.6,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
02.05.2018 06:00,16,628.4,766.6,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
02.05.2018 05:00,16,628.4,766.6,94,Wind blowing from the south-west,3,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
02.05.2018 04:00,16,627.7,765.8,94,Wind blowing from the south,2,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
02.05.2018 03:00,16,628.4,766.6,100,Wind blowing from the south,2,,,,Broken clouds (60-90%) 540 m,10.0 and more,16
01.05.2018 20:00,18,628.6,765.8,88,Wind blowing from the south-southeast,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,16
01.05.2018 19:00,18,628.6,765.8,88,Wind blowing from the south,3,,,,Broken clouds (60-90%) 600 m,10.0 and more,16
01.05.2018 18:00,19,629,765.8,83,Wind blowing from the south-southeast,5,,,,"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 2400 m",10.0 and more,16
01.05.2018 17:00,20,628.8,765,83,Wind blowing from the south-southeast,5,,,,"Broken clouds (60-90%) 600 m, broken clouds (60-90%) 2400 m",10.0 and more,17
01.05.2018 16:00,18,627.9,765,88,Wind blowing from the south-east,7,,,,"Few clouds (10-30%) 570 m, cumulonimbus clouds , broken clouds (60-90%) 600 m",10.0 and more,16
01.05.2018 15:00,19,629,765.8,88,Wind blowing from the south-southeast,5,,,,"Few clouds (10-30%) 600 m, cumulonimbus clouds , broken clouds (60-90%) 630 m",10.0 and more,17
01.05.2018 13:00,23,631.3,766.6,65,Wind blowing from the south-east,7,,,,Broken clouds (60-90%) 750 m,10.0 and more,16
01.05.2018 12:00,22,631.5,767.3,65,Wind blowing from the south-southeast,7,,,,Broken clouds (60-90%) 720 m,10.0 and more,15
01.05.2018 11:00,20,630.7,767.3,78,Wind blowing from the east-southeast,3,,,,Broken clouds (60-90%) 660 m,10.0 and more,16
01.05.2018 10:00,19,630.2,767.3,88,Wind blowing from the south,3,,,,Broken clouds (60-90%) 630 m,10.0 and more,17
01.05.2018 09:00,18,629.8,767.3,94,Wind blowing from the south-southeast,4,,,,Broken clouds (60-90%) 600 m,10.0 and more,17
01.05.2018 08:00,17,629.4,767.3,94,Wind blowing from the east-southeast,2,,,,Broken clouds (60-90%) 570 m,10.0 and more,16
01.05.2018 07:00,16,628.4,766.6,94,"Calm, no wind",0,,,,Broken clouds (60-90%) 540 m,10.0 and more,15
