ride_id,travel_date,travel_time,travel_from,car_type,max_capacity,number_of_ticket,date,dayofweek,dayofyear,dayofmonth,year_woy,hour,minute,is_weekend,year,quarter,month
5840,17-04-18,5:30,Kisii,shuttle,11,1,2018-04-17 05:30:00,1,107,17,201816,5,30,0,2018,2,4
5844,16-04-18,5:10,Kisii,shuttle,11,1,2018-04-16 05:10:00,0,106,16,201816,5,10,0,2018,2,4
5845,16-04-18,5:00,Kisii,shuttle,11,1,2018-04-16 05:00:00,0,106,16,201816,5,0,0,2018,2,4
5849,16-04-18,7:06,Kisii,Bus,49,1,2018-04-16 07:06:00,0,106,16,201816,7,6,0,2018,2,4
5850,16-04-18,7:04,Kisii,Bus,49,1,2018-04-16 07:04:00,0,106,16,201816,7,4,0,2018,2,4
5851,16-04-18,19:05,Kisii,Bus,49,1,2018-04-16 19:05:00,0,106,16,201816,19,5,0,2018,2,4
5852,16-04-18,7:15,Kisii,shuttle,11,1,2018-04-16 07:15:00,0,106,16,201816,7,15,0,2018,2,4
5853,16-04-18,5:30,Kisii,shuttle,11,1,2018-04-16 05:30:00,0,106,16,201816,5,30,0,2018,2,4
5856,15-04-18,5:20,Kisii,shuttle,11,11,2018-04-15 05:20:00,6,105,15,201815,5,20,1,2018,2,4
5857,15-04-18,5:00,Kisii,shuttle,11,4,2018-04-15 05:00:00,6,105,15,201815,5,0,1,2018,2,4
5858,15-04-18,5:10,Kisii,shuttle,11,11,2018-04-15 05:10:00,6,105,15,201815,5,10,1,2018,2,4
5861,15-04-18,19:04,Kisii,Bus,49,1,2018-04-15 19:04:00,6,105,15,201815,19,4,1,2018,2,4
5862,15-04-18,7:04,Kisii,Bus,49,1,2018-04-15 07:04:00,6,105,15,201815,7,4,1,2018,2,4
5863,15-04-18,6:40,Kisii,shuttle,11,1,2018-04-15 06:40:00,6,105,15,201815,6,40,1,2018,2,4
5864,15-04-18,5:30,Kisii,shuttle,11,1,2018-04-15 05:30:00,6,105,15,201815,5,30,1,2018,2,4
5867,14-04-18,5:10,Kisii,shuttle,11,9,2018-04-14 05:10:00,5,104,14,201815,5,10,1,2018,2,4
5868,14-04-18,5:20,Kisii,shuttle,11,6,2018-04-14 05:20:00,5,104,14,201815,5,20,1,2018,2,4
5873,14-04-18,6:59,Kisii,Bus,49,1,2018-04-14 06:59:00,5,104,14,201815,6,59,1,2018,2,4
5874,14-04-18,7:06,Kisii,Bus,49,5,2018-04-14 07:06:00,5,104,14,201815,7,6,1,2018,2,4
5875,27-11-17,7:08,Migori,Bus,49,3,2017-11-27 07:08:00,0,331,27,201748,7,8,0,2017,4,11
5876,14-04-18,5:40,Kisii,shuttle,11,1,2018-04-14 05:40:00,5,104,14,201815,5,40,1,2018,2,4
5878,14-04-18,5:30,Kisii,shuttle,11,2,2018-04-14 05:30:00,5,104,14,201815,5,30,1,2018,2,4
5880,13-04-18,5:20,Kisii,shuttle,11,11,2018-04-13 05:20:00,4,103,13,201815,5,20,0,2018,2,4
5881,13-04-18,5:00,Kisii,shuttle,11,1,2018-04-13 05:00:00,4,103,13,201815,5,0,0,2018,2,4
5882,13-04-18,5:10,Kisii,shuttle,11,4,2018-04-13 05:10:00,4,103,13,201815,5,10,0,2018,2,4
5886,13-04-18,9:00,Kisii,shuttle,11,1,2018-04-13 09:00:00,4,103,13,201815,9,0,0,2018,2,4
5887,13-04-18,7:06,Kisii,Bus,49,1,2018-04-13 07:06:00,4,103,13,201815,7,6,0,2018,2,4
5888,13-04-18,7:14,Kisii,Bus,49,1,2018-04-13 07:14:00,4,103,13,201815,7,14,0,2018,2,4
5889,13-04-18,7:07,Kisii,Bus,49,1,2018-04-13 07:07:00,4,103,13,201815,7,7,0,2018,2,4
5890,13-04-18,5:30,Kisii,shuttle,11,1,2018-04-13 05:30:00,4,103,13,201815,5,30,0,2018,2,4
5894,12-04-18,5:00,Kisii,shuttle,11,11,2018-04-12 05:00:00,3,102,12,201815,5,0,0,2018,2,4
5897,12-04-18,5:20,Kisii,shuttle,11,11,2018-04-12 05:20:00,3,102,12,201815,5,20,0,2018,2,4
5898,27-11-17,6:30,Keroka,shuttle,11,1,2017-11-27 06:30:00,0,331,27,201748,6,30,0,2017,4,11
5899,27-11-17,6:30,Keumbu,shuttle,11,1,2017-11-27 06:30:00,0,331,27,201748,6,30,0,2017,4,11
5901,27-11-17,7:15,Migori,Bus,49,11,2017-11-27 07:15:00,0,331,27,201748,7,15,0,2017,4,11
5902,27-11-17,7:04,Homa Bay,Bus,49,5,2017-11-27 07:04:00,0,331,27,201748,7,4,0,2017,4,11
5910,12-04-18,5:10,Kisii,shuttle,11,11,2018-04-12 05:10:00,3,102,12,201815,5,10,0,2018,2,4
5918,12-04-18,7:08,Kisii,Bus,49,1,2018-04-12 07:08:00,3,102,12,201815,7,8,0,2018,2,4
5919,12-04-18,8:00,Kisii,Bus,49,1,2018-04-12 08:00:00,3,102,12,201815,8,0,0,2018,2,4
5920,12-04-18,7:06,Kisii,Bus,49,1,2018-04-12 07:06:00,3,102,12,201815,7,6,0,2018,2,4
5921,12-04-18,7:14,Kisii,Bus,49,1,2018-04-12 07:14:00,3,102,12,201815,7,14,0,2018,2,4
5922,12-04-18,9:50,Kisii,shuttle,11,1,2018-04-12 09:50:00,3,102,12,201815,9,50,0,2018,2,4
5923,12-04-18,7:30,Kisii,shuttle,11,1,2018-04-12 07:30:00,3,102,12,201815,7,30,0,2018,2,4
5924,12-04-18,10:57,Kisii,shuttle,11,1,2018-04-12 10:57:00,3,102,12,201815,10,57,0,2018,2,4
5925,12-04-18,5:30,Kisii,shuttle,11,1,2018-04-12 05:30:00,3,102,12,201815,5,30,0,2018,2,4
5928,11-04-18,5:20,Kisii,shuttle,11,1,2018-04-11 05:20:00,2,101,11,201815,5,20,0,2018,2,4
5929,11-04-18,5:10,Kisii,shuttle,11,8,2018-04-11 05:10:00,2,101,11,201815,5,10,0,2018,2,4
5931,11-04-18,5:00,Kisii,shuttle,11,1,2018-04-11 05:00:00,2,101,11,201815,5,0,0,2018,2,4
5933,28-11-17,8:30,Keroka,shuttle,11,1,2017-11-28 08:30:00,1,332,28,201748,8,30,0,2017,4,11
5940,11-04-18,7:02,Kisii,Bus,49,1,2018-04-11 07:02:00,2,101,11,201815,7,2,0,2018,2,4
5941,11-04-18,9:50,Kisii,shuttle,11,3,2018-04-11 09:50:00,2,101,11,201815,9,50,0,2018,2,4
5942,11-04-18,11:01,Kisii,shuttle,11,1,2018-04-11 11:01:00,2,101,11,201815,11,1,0,2018,2,4
5943,11-04-18,6:30,Kisii,shuttle,11,1,2018-04-11 06:30:00,2,101,11,201815,6,30,0,2018,2,4
5944,11-04-18,7:11,Kisii,Bus,49,1,2018-04-11 07:11:00,2,101,11,201815,7,11,0,2018,2,4
5945,11-04-18,10:58,Kisii,shuttle,11,1,2018-04-11 10:58:00,2,101,11,201815,10,58,0,2018,2,4
5946,11-04-18,5:30,Kisii,shuttle,11,1,2018-04-11 05:30:00,2,101,11,201815,5,30,0,2018,2,4
5947,28-11-17,7:12,Migori,Bus,49,11,2017-11-28 07:12:00,1,332,28,201748,7,12,0,2017,4,11
5950,28-11-17,7:09,Homa Bay,Bus,49,10,2017-11-28 07:09:00,1,332,28,201748,7,9,0,2017,4,11
5951,10-04-18,5:10,Kisii,shuttle,11,6,2018-04-10 05:10:00,1,100,10,201815,5,10,0,2018,2,4
5953,10-04-18,5:00,Kisii,shuttle,11,1,2018-04-10 05:00:00,1,100,10,201815,5,0,0,2018,2,4
5957,10-04-18,7:06,Kisii,Bus,49,6,2018-04-10 07:06:00,1,100,10,201815,7,6,0,2018,2,4
5958,10-04-18,6:40,Kisii,shuttle,11,1,2018-04-10 06:40:00,1,100,10,201815,6,40,0,2018,2,4
5937,28-11-17,7:06,Keroka,Bus,49,1,2017-11-28 07:06:00,1,332,28,201748,7,6,0,2017,4,11
5959,10-04-18,5:40,Kisii,shuttle,11,1,2018-04-10 05:40:00,1,100,10,201815,5,40,0,2018,2,4
5960,10-04-18,6:00,Kisii,shuttle,11,1,2018-04-10 06:00:00,1,100,10,201815,6,0,0,2018,2,4
5961,10-04-18,5:30,Kisii,shuttle,11,1,2018-04-10 05:30:00,1,100,10,201815,5,30,0,2018,2,4
5964,09-04-18,5:10,Kisii,shuttle,11,2,2018-04-09 05:10:00,0,99,9,201815,5,10,0,2018,2,4
5965,09-04-18,5:00,Kisii,shuttle,11,1,2018-04-09 05:00:00,0,99,9,201815,5,0,0,2018,2,4
5969,09-04-18,7:06,Kisii,Bus,49,2,2018-04-09 07:06:00,0,99,9,201815,7,6,0,2018,2,4
5971,09-04-18,19:03,Kisii,Bus,49,1,2018-04-09 19:03:00,0,99,9,201815,19,3,0,2018,2,4
5972,09-04-18,6:30,Kisii,shuttle,11,2,2018-04-09 06:30:00,0,99,9,201815,6,30,0,2018,2,4
5973,09-04-18,5:30,Kisii,shuttle,11,1,2018-04-09 05:30:00,0,99,9,201815,5,30,0,2018,2,4
5976,08-04-18,5:10,Kisii,shuttle,11,2,2018-04-08 05:10:00,6,98,8,201814,5,10,1,2018,2,4
5982,08-04-18,7:06,Kisii,Bus,49,4,2018-04-08 07:06:00,6,98,8,201814,7,6,1,2018,2,4
5983,08-04-18,9:10,Kisii,shuttle,11,1,2018-04-08 09:10:00,6,98,8,201814,9,10,1,2018,2,4
5984,08-04-18,7:03,Kisii,Bus,49,1,2018-04-08 07:03:00,6,98,8,201814,7,3,1,2018,2,4
5985,08-04-18,5:30,Kisii,shuttle,11,1,2018-04-08 05:30:00,6,98,8,201814,5,30,1,2018,2,4
5986,08-04-18,7:04,Kisii,Bus,49,1,2018-04-08 07:04:00,6,98,8,201814,7,4,1,2018,2,4
5988,28-11-17,7:08,Migori,Bus,49,3,2017-11-28 07:08:00,1,332,28,201748,7,8,0,2017,4,11
5993,07-04-18,7:06,Kisii,Bus,49,1,2018-04-07 07:06:00,5,97,7,201814,7,6,1,2018,2,4
5994,07-04-18,6:58,Kisii,shuttle,11,1,2018-04-07 06:58:00,5,97,7,201814,6,58,1,2018,2,4
5995,07-04-18,6:40,Kisii,shuttle,11,1,2018-04-07 06:40:00,5,97,7,201814,6,40,1,2018,2,4
5996,07-04-18,6:30,Kisii,shuttle,11,2,2018-04-07 06:30:00,5,97,7,201814,6,30,1,2018,2,4
5997,07-04-18,11:05,Kisii,shuttle,11,1,2018-04-07 11:05:00,5,97,7,201814,11,5,1,2018,2,4
5998,28-11-17,10:20,Keroka,shuttle,11,1,2017-11-28 10:20:00,1,332,28,201748,10,20,0,2017,4,11
6000,07-04-18,5:30,Kisii,shuttle,11,1,2018-04-07 05:30:00,5,97,7,201814,5,30,1,2018,2,4
6003,06-04-18,5:10,Kisii,shuttle,11,5,2018-04-06 05:10:00,4,96,6,201814,5,10,0,2018,2,4
6008,06-04-18,7:06,Kisii,Bus,49,2,2018-04-06 07:06:00,4,96,6,201814,7,6,0,2018,2,4
6009,06-04-18,5:50,Kisii,shuttle,11,1,2018-04-06 05:50:00,4,96,6,201814,5,50,0,2018,2,4
6010,06-04-18,5:30,Kisii,shuttle,11,1,2018-04-06 05:30:00,4,96,6,201814,5,30,0,2018,2,4
6013,05-04-18,5:00,Kisii,shuttle,11,1,2018-04-05 05:00:00,3,95,5,201814,5,0,0,2018,2,4
6015,05-04-18,5:10,Kisii,shuttle,11,8,2018-04-05 05:10:00,3,95,5,201814,5,10,0,2018,2,4
6019,05-04-18,7:07,Kisii,Bus,49,2,2018-04-05 07:07:00,3,95,5,201814,7,7,0,2018,2,4
6020,05-04-18,7:06,Kisii,Bus,49,1,2018-04-05 07:06:00,3,95,5,201814,7,6,0,2018,2,4
6021,05-04-18,19:05,Kisii,Bus,49,1,2018-04-05 19:05:00,3,95,5,201814,19,5,0,2018,2,4
6022,05-04-18,5:30,Kisii,shuttle,11,1,2018-04-05 05:30:00,3,95,5,201814,5,30,0,2018,2,4
6029,04-04-18,7:08,Kisii,Bus,49,1,2018-04-04 07:08:00,2,94,4,201814,7,8,0,2018,2,4
6030,04-04-18,7:06,Kisii,Bus,49,1,2018-04-04 07:06:00,2,94,4,201814,7,6,0,2018,2,4
6031,04-04-18,6:00,Kisii,shuttle,11,1,2018-04-04 06:00:00,2,94,4,201814,6,0,0,2018,2,4
6032,04-04-18,5:30,Kisii,shuttle,11,1,2018-04-04 05:30:00,2,94,4,201814,5,30,0,2018,2,4
6037,03-04-18,7:06,Kisii,Bus,49,1,2018-04-03 07:06:00,1,93,3,201814,7,6,0,2018,2,4
6038,03-04-18,7:07,Kisii,Bus,49,1,2018-04-03 07:07:00,1,93,3,201814,7,7,0,2018,2,4
6039,03-04-18,10:53,Kisii,shuttle,11,1,2018-04-03 10:53:00,1,93,3,201814,10,53,0,2018,2,4
6040,03-04-18,5:40,Kisii,shuttle,11,1,2018-04-03 05:40:00,1,93,3,201814,5,40,0,2018,2,4
6041,03-04-18,7:20,Kisii,shuttle,11,1,2018-04-03 07:20:00,1,93,3,201814,7,20,0,2018,2,4
6042,03-04-18,5:30,Kisii,shuttle,11,1,2018-04-03 05:30:00,1,93,3,201814,5,30,0,2018,2,4
6045,02-04-18,5:00,Kisii,shuttle,11,1,2018-04-02 05:00:00,0,92,2,201814,5,0,0,2018,2,4
6049,02-04-18,7:06,Kisii,Bus,49,2,2018-04-02 07:06:00,0,92,2,201814,7,6,0,2018,2,4
6050,02-04-18,7:12,Kisii,Bus,49,1,2018-04-02 07:12:00,0,92,2,201814,7,12,0,2018,2,4
6051,02-04-18,5:30,Kisii,shuttle,11,1,2018-04-02 05:30:00,0,92,2,201814,5,30,0,2018,2,4
6055,28-11-17,7:04,Homa Bay,Bus,49,4,2017-11-28 07:04:00,1,332,28,201748,7,4,0,2017,4,11
6058,01-04-18,7:06,Kisii,Bus,49,1,2018-04-01 07:06:00,6,91,1,201813,7,6,1,2018,2,4
6059,01-04-18,9:50,Kisii,shuttle,11,2,2018-04-01 09:50:00,6,91,1,201813,9,50,1,2018,2,4
6060,01-04-18,5:30,Kisii,shuttle,11,1,2018-04-01 05:30:00,6,91,1,201813,5,30,1,2018,2,4
6065,31-03-18,7:04,Kisii,Bus,49,1,2018-03-31 07:04:00,5,90,31,201813,7,4,1,2018,1,3
6066,31-03-18,7:06,Kisii,Bus,49,1,2018-03-31 07:06:00,5,90,31,201813,7,6,1,2018,1,3
6067,31-03-18,10:00,Kisii,shuttle,11,1,2018-03-31 10:00:00,5,90,31,201813,10,0,1,2018,1,3
6068,31-03-18,8:50,Kisii,shuttle,11,1,2018-03-31 08:50:00,5,90,31,201813,8,50,1,2018,1,3
6069,31-03-18,10:51,Kisii,shuttle,11,1,2018-03-31 10:51:00,5,90,31,201813,10,51,1,2018,1,3
6070,31-03-18,5:30,Kisii,shuttle,11,1,2018-03-31 05:30:00,5,90,31,201813,5,30,1,2018,1,3
6073,30-03-18,5:00,Kisii,shuttle,11,1,2018-03-30 05:00:00,4,89,30,201813,5,0,0,2018,1,3
6080,30-03-18,7:02,Kisii,Bus,49,1,2018-03-30 07:02:00,4,89,30,201813,7,2,0,2018,1,3
6081,30-03-18,10:54,Kisii,shuttle,11,1,2018-03-30 10:54:00,4,89,30,201813,10,54,0,2018,1,3
6082,30-03-18,5:40,Kisii,shuttle,11,1,2018-03-30 05:40:00,4,89,30,201813,5,40,0,2018,1,3
6083,30-03-18,10:20,Kisii,shuttle,11,1,2018-03-30 10:20:00,4,89,30,201813,10,20,0,2018,1,3
6084,30-03-18,5:30,Kisii,shuttle,11,1,2018-03-30 05:30:00,4,89,30,201813,5,30,0,2018,1,3
6085,30-03-18,10:50,Kisii,shuttle,11,1,2018-03-30 10:50:00,4,89,30,201813,10,50,0,2018,1,3
6088,29-03-18,5:00,Kisii,shuttle,11,2,2018-03-29 05:00:00,3,88,29,201813,5,0,0,2018,1,3
6089,29-03-18,5:10,Kisii,shuttle,11,1,2018-03-29 05:10:00,3,88,29,201813,5,10,0,2018,1,3
6095,29-03-18,7:06,Kisii,Bus,49,2,2018-03-29 07:06:00,3,88,29,201813,7,6,0,2018,1,3
6096,29-03-18,9:50,Kisii,shuttle,11,1,2018-03-29 09:50:00,3,88,29,201813,9,50,0,2018,1,3
6097,29-03-18,5:30,Kisii,shuttle,11,2,2018-03-29 05:30:00,3,88,29,201813,5,30,0,2018,1,3
6099,29-03-18,7:01,Kisii,Bus,49,1,2018-03-29 07:01:00,3,88,29,201813,7,1,0,2018,1,3
6105,28-03-18,5:10,Kisii,shuttle,11,1,2018-03-28 05:10:00,2,87,28,201813,5,10,0,2018,1,3
6106,28-03-18,5:00,Kisii,shuttle,11,1,2018-03-28 05:00:00,2,87,28,201813,5,0,0,2018,1,3
6112,28-03-18,7:06,Kisii,Bus,49,2,2018-03-28 07:06:00,2,87,28,201813,7,6,0,2018,1,3
6113,28-03-18,10:20,Kisii,shuttle,11,1,2018-03-28 10:20:00,2,87,28,201813,10,20,0,2018,1,3
6114,28-03-18,8:50,Kisii,shuttle,11,1,2018-03-28 08:50:00,2,87,28,201813,8,50,0,2018,1,3
6115,28-03-18,6:40,Kisii,shuttle,11,1,2018-03-28 06:40:00,2,87,28,201813,6,40,0,2018,1,3
6116,28-03-18,7:00,Kisii,shuttle,11,1,2018-03-28 07:00:00,2,87,28,201813,7,0,0,2018,1,3
6117,28-03-18,5:30,Kisii,shuttle,11,1,2018-03-28 05:30:00,2,87,28,201813,5,30,0,2018,1,3
6122,27-03-18,5:00,Kisii,shuttle,11,1,2018-03-27 05:00:00,1,86,27,201813,5,0,0,2018,1,3
6127,27-03-18,7:06,Kisii,Bus,49,2,2018-03-27 07:06:00,1,86,27,201813,7,6,0,2018,1,3
6128,27-03-18,7:02,Kisii,Bus,49,1,2018-03-27 07:02:00,1,86,27,201813,7,2,0,2018,1,3
6129,27-03-18,6:50,Kisii,shuttle,11,1,2018-03-27 06:50:00,1,86,27,201813,6,50,0,2018,1,3
6130,27-03-18,7:07,Kisii,Bus,49,1,2018-03-27 07:07:00,1,86,27,201813,7,7,0,2018,1,3
6131,27-03-18,6:10,Kisii,shuttle,11,1,2018-03-27 06:10:00,1,86,27,201813,6,10,0,2018,1,3
6132,29-11-17,5:30,Keroka,shuttle,11,1,2017-11-29 05:30:00,2,333,29,201748,5,30,0,2017,4,11
6133,27-03-18,5:30,Kisii,shuttle,11,1,2018-03-27 05:30:00,1,86,27,201813,5,30,0,2018,1,3
6134,27-03-18,6:20,Kisii,shuttle,11,4,2018-03-27 06:20:00,1,86,27,201813,6,20,0,2018,1,3
6139,26-03-18,5:00,Kisii,shuttle,11,2,2018-03-26 05:00:00,0,85,26,201813,5,0,0,2018,1,3
6143,26-03-18,19:03,Kisii,Bus,49,1,2018-03-26 19:03:00,0,85,26,201813,19,3,0,2018,1,3
6144,26-03-18,7:06,Kisii,Bus,49,2,2018-03-26 07:06:00,0,85,26,201813,7,6,0,2018,1,3
6145,26-03-18,6:10,Kisii,shuttle,11,1,2018-03-26 06:10:00,0,85,26,201813,6,10,0,2018,1,3
6146,26-03-18,6:40,Kisii,shuttle,11,1,2018-03-26 06:40:00,0,85,26,201813,6,40,0,2018,1,3
6147,26-03-18,7:30,Kisii,shuttle,11,1,2018-03-26 07:30:00,0,85,26,201813,7,30,0,2018,1,3
6148,26-03-18,5:30,Kisii,shuttle,11,1,2018-03-26 05:30:00,0,85,26,201813,5,30,0,2018,1,3
6149,26-03-18,6:00,Kisii,shuttle,11,1,2018-03-26 06:00:00,0,85,26,201813,6,0,0,2018,1,3
6154,25-03-18,5:00,Kisii,shuttle,11,5,2018-03-25 05:00:00,6,84,25,201812,5,0,1,2018,1,3
6162,25-03-18,7:06,Kisii,Bus,49,3,2018-03-25 07:06:00,6,84,25,201812,7,6,1,2018,1,3
6163,25-03-18,6:40,Kisii,shuttle,11,1,2018-03-25 06:40:00,6,84,25,201812,6,40,1,2018,1,3
6164,25-03-18,8:50,Kisii,shuttle,11,1,2018-03-25 08:50:00,6,84,25,201812,8,50,1,2018,1,3
6165,25-03-18,10:54,Kisii,shuttle,11,1,2018-03-25 10:54:00,6,84,25,201812,10,54,1,2018,1,3
6166,25-03-18,10:10,Kisii,shuttle,11,1,2018-03-25 10:10:00,6,84,25,201812,10,10,1,2018,1,3
6167,25-03-18,11:02,Kisii,shuttle,11,1,2018-03-25 11:02:00,6,84,25,201812,11,2,1,2018,1,3
6168,25-03-18,7:20,Kisii,shuttle,11,1,2018-03-25 07:20:00,6,84,25,201812,7,20,1,2018,1,3
6169,25-03-18,5:30,Kisii,shuttle,11,1,2018-03-25 05:30:00,6,84,25,201812,5,30,1,2018,1,3
6171,24-03-18,5:00,Kisii,shuttle,11,1,2018-03-24 05:00:00,5,83,24,201812,5,0,1,2018,1,3
6176,24-03-18,7:06,Kisii,Bus,49,2,2018-03-24 07:06:00,5,83,24,201812,7,6,1,2018,1,3
6177,24-03-18,8:00,Kisii,Bus,49,2,2018-03-24 08:00:00,5,83,24,201812,8,0,1,2018,1,3
6153,29-11-17,7:05,Rongo,Bus,49,4,2017-11-29 07:05:00,2,333,29,201748,7,5,0,2017,4,11
6178,24-03-18,9:40,Kisii,shuttle,11,1,2018-03-24 09:40:00,5,83,24,201812,9,40,1,2018,1,3
6179,24-03-18,8:20,Kisii,shuttle,11,1,2018-03-24 08:20:00,5,83,24,201812,8,20,1,2018,1,3
6180,24-03-18,5:30,Kisii,shuttle,11,1,2018-03-24 05:30:00,5,83,24,201812,5,30,1,2018,1,3
6183,23-03-18,5:10,Kisii,shuttle,11,1,2018-03-23 05:10:00,4,82,23,201812,5,10,0,2018,1,3
6187,23-03-18,19:05,Kisii,Bus,49,1,2018-03-23 19:05:00,4,82,23,201812,19,5,0,2018,1,3
6188,23-03-18,8:00,Kisii,Bus,49,1,2018-03-23 08:00:00,4,82,23,201812,8,0,0,2018,1,3
6189,23-03-18,7:04,Kisii,Bus,49,3,2018-03-23 07:04:00,4,82,23,201812,7,4,0,2018,1,3
6190,23-03-18,5:50,Kisii,shuttle,11,1,2018-03-23 05:50:00,4,82,23,201812,5,50,0,2018,1,3
6191,23-03-18,6:58,Kisii,shuttle,11,1,2018-03-23 06:58:00,4,82,23,201812,6,58,0,2018,1,3
6193,23-03-18,8:30,Kisii,shuttle,11,1,2018-03-23 08:30:00,4,82,23,201812,8,30,0,2018,1,3
6194,23-03-18,7:07,Kisii,Bus,49,1,2018-03-23 07:07:00,4,82,23,201812,7,7,0,2018,1,3
6195,23-03-18,5:30,Kisii,shuttle,11,1,2018-03-23 05:30:00,4,82,23,201812,5,30,0,2018,1,3
