ride_id,mean_travel_time_dow,standard_deviation_travel_time_dow,geometric_mean_travel_time_dow,geometric_standard_deviation_travel_time_dow,Mean_Travel_Time_dow,Lower_Bound_Travel_Time_dow,Upper_BoundTravel_Time_dow,mean_travel_time_month,standard_deviation_travel_time_month,geometric_mean_travel_time_month,geometric_standard_deviation_travel_time_month,mean_travel_time_hod_after_8h,standard_deviation_travel_time_hod_after_8h,geometric_mean_travel_time_hod_after_8h,geometric_standard_deviation_travel_time_hod_after_8h,mean_travel_time_hod_after_9h,standard_deviation_travel_time_hod_after_9h,geometric_mean_travel_time_hod_after_9h,geometric_standard_deviation_travel_time_hod_after_9h,mean_travel_time_hod_arrved_date,standard_deviation_travel_time_hod_arrved_date,geometric_mean_travel_time_hod_arrved_date,geometric_standard_deviation_travel_time_hod_arrved_date
8547,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8548,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8602,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8627,1948.7,768.45,1822.05,1.45,1948,1348,2816,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8628,1948.7,768.45,1822.05,1.45,1948,1348,2816,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8667,1708.77,584.05,1611.37,1.42,1708,1200,2432,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8666,1708.77,584.05,1611.37,1.42,1708,1200,2432,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8688,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8716,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8748,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8753,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8785,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8810,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8865,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8862,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8887,1948.7,768.45,1822.05,1.45,1948,1348,2816,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8918,1708.77,584.05,1611.37,1.42,1708,1200,2432,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
8993,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9097,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9142,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9173,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9215,1948.7,768.45,1822.05,1.45,1948,1348,2816,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9273,1708.77,584.05,1611.37,1.42,1708,1200,2432,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9398,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2085.86,962.58,1896.84,1.54,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9727,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9816,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9914,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9906,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
9965,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10067,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10110,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10117,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10194,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10193,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10244,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10246,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10348,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10344,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10437,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10506,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10542,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10546,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10650,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10604,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10607,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10610,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,1474.85,605.95,1378.46,1.42,1548.34,524.36,1463.61,1.4,1299.36,615.78,1197.45,1.47
10671,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10659,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10730,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10765,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10837,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10904,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
10964,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11022,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11096,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11084,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11154,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11170,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11166,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11161,1948.7,768.45,1822.05,1.45,1948,1348,2816,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11210,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11213,1708.77,584.05,1611.37,1.42,1708,1200,2432,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11291,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2113.57,1005.83,1910.94,1.58,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11497,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
11637,1708.77,584.05,1611.37,1.42,1708,1200,2432,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12486,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12526,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12548,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,2612.73,1194.78,2421.92,1.45,2758.4,1043.11,2578.91,1.44,2362.04,767.65,2256.4,1.34
12551,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12584,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12585,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12620,1948.7,768.45,1822.05,1.45,1948,1348,2816,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12624,1948.7,768.45,1822.05,1.45,1948,1348,2816,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12612,1948.7,768.45,1822.05,1.45,1948,1348,2816,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12661,1708.77,584.05,1611.37,1.42,1708,1200,2432,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12659,1708.77,584.05,1611.37,1.42,1708,1200,2432,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12702,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12705,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12704,2429.91,1455.07,2113.5,1.68,2429,1449,4074,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12751,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12747,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12745,2514.4,1197.19,2247.5,1.62,2514,1554,4066,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12780,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12788,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12795,2283.99,1044.65,2072.77,1.55,2283,1469,3549,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12817,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12833,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12823,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12832,2699.75,1435.87,2401.17,1.61,2699,1677,4345,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12868,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,2612.73,1194.78,2421.92,1.45,2758.4,1043.11,2578.91,1.44,2362.04,767.65,2256.4,1.34
12849,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12860,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12876,2319.11,1181.06,2055.96,1.65,2319,1405,3826,2420.94,1343.08,2144.03,1.62,3062.56,1720.18,2734.38,1.57,2919.19,1365.75,2627.47,1.6,2612.73,1194.78,2421.92,1.45
12895,1948.7,768.45,1822.05,1.45,1948,1348,2816,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12906,1948.7,768.45,1822.05,1.45,1948,1348,2816,2420.94,1343.08,2144.03,1.62,2758.4,1043.11,2578.91,1.44,3062.56,1720.18,2734.38,1.57,2362.04,767.65,2256.4,1.34
12926,1824.13,779.66,1694.67,1.46,1826,1270,2624,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12929,1824.13,779.66,1694.67,1.46,1826,1270,2624,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12935,1824.13,779.66,1694.67,1.46,1826,1270,2624,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12924,1824.13,779.66,1694.67,1.46,1826,1270,2624,2133.02,926.56,1971.8,1.48,3419.97,1778.3,2981.91,1.71,3505.29,1686.33,3153.86,1.58,2485.34,854.59,2321.28,1.5
12977,2382.32,1129.0,2158.16,1.55,2414,1555,3747,2133.02,926.56,1971.8,1.48,2485.34,854.59,2321.28,1.5,2658.71,1162.26,2431.64,1.53,2632.26,1210.11,2390.53,1.56
12980,2382.32,1129.0,2158.16,1.55,2414,1555,3747,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12982,2382.32,1129.0,2158.16,1.55,2414,1555,3747,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12974,2382.32,1129.0,2158.16,1.55,2414,1555,3747,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
12972,2382.32,1129.0,2158.16,1.55,2414,1555,3747,2133.02,926.56,1971.8,1.48,3419.97,1778.3,2981.91,1.71,3505.29,1686.33,3153.86,1.58,2485.34,854.59,2321.28,1.5
12983,2479.66,1277.75,2229.64,1.57,2503,1585,3952,2133.02,926.56,1971.8,1.48,1548.88,634.14,1441.86,1.45,1652.36,660.66,1533.74,1.47,1609.35,950.75,1449.72,1.51
12999,2479.66,1277.75,2229.64,1.57,2503,1585,3952,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13002,2479.66,1277.75,2229.64,1.57,2503,1585,3952,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13001,2479.66,1277.75,2229.64,1.57,2503,1585,3952,2133.02,926.56,1971.8,1.48,3419.97,1778.3,2981.91,1.71,3505.29,1686.33,3153.86,1.58,2485.34,854.59,2321.28,1.5
13033,2723.82,1423.41,2411.47,1.64,2736,1647,4548,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13040,2723.82,1423.41,2411.47,1.64,2736,1647,4548,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13030,2723.82,1423.41,2411.47,1.64,2736,1647,4548,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13037,2723.82,1423.41,2411.47,1.64,2736,1647,4548,2133.02,926.56,1971.8,1.48,3419.97,1778.3,2981.91,1.71,3505.29,1686.33,3153.86,1.58,2485.34,854.59,2321.28,1.5
13078,2581.44,1326.74,2294.37,1.63,2625,1587,4342,2133.02,926.56,1971.8,1.48,2485.34,854.59,2321.28,1.5,2658.71,1162.26,2431.64,1.53,2632.26,1210.11,2390.53,1.56
13061,2581.44,1326.74,2294.37,1.63,2625,1587,4342,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
13060,2581.44,1326.74,2294.37,1.63,2625,1587,4342,2133.02,926.56,1971.8,1.48,2658.71,1162.26,2431.64,1.53,3419.97,1778.3,2981.91,1.71,2632.26,1210.11,2390.53,1.56
