"Date","Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Daily Mean Travel Time (Seconds)","Daily Range - Lower Bound Travel Time (Seconds)","Daily Range - Upper Bound Travel Time (Seconds)","AM Mean Travel Time (Seconds)","AM Range - Lower Bound Travel Time (Seconds)","AM Range - Upper Bound Travel Time (Seconds)","PM Mean Travel Time (Seconds)","PM Range - Lower Bound Travel Time (Seconds)","PM Range - Upper Bound Travel Time (Seconds)","Midday Mean Travel Time (Seconds)","Midday Range - Lower Bound Travel Time (Seconds)","Midday Range - Upper Bound Travel Time (Seconds)","Evening Mean Travel Time (Seconds)","Evening Range - Lower Bound Travel Time (Seconds)","Evening Range - Upper Bound Travel Time (Seconds)","Early Morning Mean Travel Time (Seconds)","Early Morning Range - Lower Bound Travel Time (Seconds)","Early Morning Range - Upper Bound Travel Time (Seconds)"
"01/10/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2908,1793,4716,,,,,,,,,,,,,,,
"01/11/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2148,1446,3191,,,,,,,2272,1872,2756,,,,,,
"01/12/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1690,1158,2466,,,,,,,,,,1615,1146,2274,,,
"01/13/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1577,1158,2149,,,,,,,,,,,,,,,
"01/14/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2042,1217,3424,,,,,,,,,,,,,1528,965,2419
"01/15/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2265,1351,3797,,,,,,,,,,,,,,,
"01/16/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2243,1540,3266,,,,,,,,,,,,,,,
"01/17/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2368,1702,3294,,,,,,,,,,,,,,,
"01/18/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2580,1377,4836,,,,,,,,,,1950,957,3970,,,
"01/19/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2143,1416,3242,,,,,,,2777,2151,3584,,,,,,
"01/20/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1631,1159,2294,,,,,,,,,,,,,,,
"01/21/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2636,1585,4383,,,,,,,,,,,,,,,
"01/22/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2734,1668,4480,,,,,,,,,,,,,,,
"01/23/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2215,1492,3287,,,,,,,,,,,,,,,
"01/24/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2764,1768,4321,,,,,,,,,,,,,,,
"01/25/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2759,1680,4531,,,,,,,,,,,,,,,
"01/26/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1912,1269,2881,,,,,,,2335,2025,2692,,,,,,
"01/27/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1559,1149,2114,,,,,,,,,,,,,,,
"01/28/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2344,1528,3594,,,,,,,,,,,,,,,
"01/29/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",,,,,,,,,,,,,,,,,,
"01/30/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2367,1549,3615,,,,,,,,,,,,,,,
"01/31/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2463,1477,4106,,,,,,,,,,,,,,,
"02/01/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2703,1692,4319,,,,,,,,,,,,,,,
"02/02/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1788,1304,2450,,,,,,,,,,,,,1449,1083,1937
"02/03/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1476,911,2390,,,,,,,1905,1526,2379,1357,1148,1604,1036,540,1987
"02/04/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2667,1822,3903,,,,,,,,,,,,,,,
"02/05/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2698,1840,3957,2955,2136,4089,,,,,,,,,,,,
"02/06/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2384,1669,3404,,,,,,,,,,,,,,,
"02/07/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2340,1755,3119,,,,,,,,,,,,,,,
"02/08/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2348,1523,3622,,,,,,,,,,1486,1158,1906,2188,1610,2973
"02/09/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2096,1367,3213,,,,,,,,,,2799,1680,4663,,,
"02/10/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1776,1330,2372,,,,,,,2059,1551,2733,,,,,,
"02/11/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2176,1489,3181,,,,,,,,,,,,,2180,1549,3067
"02/12/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1808,1120,2918,,,,,,,,,,,,,1652,983,2776
"02/13/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1894,1189,3016,,,,,,,,,,,,,,,
"02/14/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2533,1481,4334,,,,,,,3195,1899,5374,,,,1524,988,2350
"02/15/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2194,1754,2744,,,,,,,2225,1967,2517,,,,,,
"02/16/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1906,1484,2449,,,,,,,,,,,,,1861,1515,2285
"02/17/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1785,1261,2526,,,,,,,1775,1293,2438,1642,1256,2146,,,
"02/18/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1885,1127,3154,,,,,,,,,,,,,1387,959,2007
"02/19/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2093,1400,3128,,,,,,,,,,,,,,,
"02/20/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2926,2051,4175,,,,,,,,,,,,,,,
"02/21/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2281,1424,3654,,,,,,,3037,2218,4158,2121,1358,3310,,,
"02/22/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2339,1294,4228,,,,,,,,,,,,,,,
"02/23/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1617,1051,2488,,,,,,,1755,1217,2530,1488,872,2539,1600,1290,1983
"02/24/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1797,1395,2313,,,,,,,1886,1501,2370,,,,,,
"02/25/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2298,1199,4407,,,,,,,,,,,,,,,
"02/26/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2392,1529,3742,3026,2219,4126,,,,,,,,,,,,
"02/27/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2441,1456,4091,,,,,,,,,,,,,,,
"02/28/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2509,1722,3656,,,,,,,,,,,,,,,
"03/01/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2408,1212,4786,,,,,,,,,,2328,1283,4224,1548,795,3015
"03/02/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2131,1493,3042,,,,,,,2561,1962,3343,,,,1385,1149,1669
"03/03/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1923,1317,2809,,,,,,,2218,1795,2740,1859,1129,3061,1582,1080,2317
"03/04/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3428,1792,6556,,,,,,,3157,1914,5205,,,,2299,1590,3322
"03/05/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2752,1608,4712,,,,,,,,,,,,,2097,1309,3358
"03/06/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2647,1495,4687,,,,,,,,,,,,,,,
"03/07/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2766,1780,4298,,,,,,,3739,2633,5310,,,,,,
"03/08/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2665,1656,4291,,,,3631,2444,5395,,,,1762,1255,2476,,,
"03/09/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2106,1529,2899,,,,,,,2515,1998,3165,2187,1685,2838,1639,1166,2305
"03/10/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1641,1146,2349,,,,,,,,,,1929,1319,2821,,,
"03/11/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3401,2119,5458,,,,,,,,,,,,,,,
"03/12/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3650,2536,5253,,,,,,,,,,,,,,,
"03/13/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2608,1779,3823,,,,,,,,,,,,,,,
"03/14/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",4170,2074,8385,,,,,,,,,,,,,,,
"03/15/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2297,1371,3846,,,,,,,2894,1981,4226,,,,1459,882,2414
"03/16/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2412,1505,3866,,,,,,,,,,,,,1696,1229,2340
"03/17/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1906,1321,2751,,,,,,,1959,1470,2611,2248,1503,3363,,,
"03/18/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2874,1764,4683,,,,,,,,,,,,,,,
"03/19/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2449,1535,3908,,,,,,,,,,,,,,,
"03/20/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2812,1684,4696,,,,,,,,,,,,,,,
"03/21/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2641,1891,3689,,,,,,,2454,2046,2943,,,,,,
"03/22/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2291,1569,3344,,,,,,,,,,,,,,,
"03/23/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2024,1524,2688,,,,,,,2402,2021,2855,1532,1233,1904,,,
"03/24/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1638,1213,2213,,,,,,,1864,1504,2309,,,,,,
"03/25/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2561,1559,4208,2702,1959,3726,,,,,,,,,,,,
"03/26/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2484,1644,3754,,,,,,,,,,,,,,,
"03/27/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",2255,1678,3031,,,,,,,2507,2009,3127,,,,,,
"03/28/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",3288,2077,5203,,,,,,,3598,3015,4293,,,,,,
"03/29/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1702,1201,2411,,,,,,,1945,1580,2395,1647,1265,2143,1450,985,2134
"03/30/2018","376","Kawangware, Nairobi","192","Afya Centre, Nairobi",1787,1375,2324,,,,,,,1923,1521,2432,1568,1270,1935,,,
